Price,Close,High,Low,Open,Volume
Ticker,ICLN,ICLN,ICLN,ICLN,ICLN
Date,,,,,
2010-01-04,16.418561935424805,16.461787249514032,16.24565793085198,16.41135748739194,25900
2010-01-05,16.858022689819336,16.858022689819336,16.605872498859945,16.685120055074954,19600
2010-01-06,17.002107620239258,17.17501024190988,16.93726896534929,16.93726896534929,19000
2010-01-07,17.038129806518555,17.138990707566858,16.937270279578243,17.002108939499298,45200
2010-01-08,17.18942642211914,17.26867263181861,17.03093125450326,17.138996641189895,17800
2010-01-11,17.297483444213867,17.535224725450128,17.26866565298139,17.50640693421765,92600
2010-01-12,16.778772354125977,17.29027568352526,16.735545675559653,17.29027568352526,57300
2010-01-13,16.89404296875,17.030923346540774,16.58425860218844,17.030923346540774,72400
2010-01-14,16.440168380737305,17.045328071055888,16.332104444774878,16.93726413509346,26800
2010-01-15,16.007925033569336,16.209645561907756,15.878249023325365,16.209645561907756,31300
2010-01-19,15.907052040100098,15.993504014789279,15.690924164538426,15.950277340390928,37500
2010-01-20,15.273079872131348,15.5900673215423,15.265875424539116,15.5108211462435,36200
2010-01-21,14.963294982910156,15.424368620133519,14.912865225602328,15.294691316137492,15100
2010-01-22,14.40856647491455,14.739962844265756,14.329318919587967,14.711146425852075,43300
2010-01-25,14.588672637939453,14.768779707543645,14.509425087599084,14.588672637939453,32700
2010-01-26,14.588672637939453,14.812005019498441,14.408565568335263,14.408565568335263,76500
2010-01-27,14.322112083435059,14.732757313751172,14.048349970665399,14.675123112425572,20700
2010-01-28,14.199642181396484,14.509426593116599,14.048352886802771,14.502222144691942,15700
2010-01-29,13.861042022705078,14.358137995264217,13.82502115294188,14.214051767995217,15900
2010-02-01,14.31491470336914,14.31491470336914,14.062764457004125,14.062764457004125,30400
2010-02-02,14.40856647491455,14.538243793046059,14.300502501174288,14.46620068584989,28700
2010-02-03,14.40856647491455,14.523834896785228,14.343727815848796,14.523834896785228,29600
2010-02-04,13.551258087158203,14.2932998485073,13.500828318018508,14.264482052365672,35000
2010-02-05,13.601690292358398,13.666528971181506,13.162229815356488,13.608894742684122,28000
2010-02-08,13.270294189453125,13.616099570012084,13.219864409885163,13.616099570012084,13000
2010-02-09,13.659321784973145,13.738569348574872,13.54405335106597,13.680935131621284,24000
2010-02-10,13.349535942077637,13.435986562414694,13.14781553777811,13.435986562414694,13500
2010-02-11,13.49362564086914,13.536852340757802,13.277497637859161,13.313518513658048,31100
2010-02-12,13.457601547241211,13.551256626389574,13.140612694394132,13.385558438761239,24000
2010-02-16,13.93308162689209,13.93308162689209,13.45039467346007,13.45039467346007,42600
2010-02-17,13.781795501708984,13.94029063850309,13.695344858101477,13.788999951027645,15700
