Date,ABBV,BAC,COST,CRM,CVX,HD,JNJ,JPM,KO,LLY,MA,MRK,NFLX,ORCL,PG,TMUS,UNH,V,WMT,XOM
2018-01-02,71.66992950439453,25.191652297973633,169.42160034179688,103.83007049560547,93.47792053222656,157.68032836914062,113.85027313232422,88.11127471923828,36.272212982177734,75.58221435546875,145.8956756591797,43.10443878173828,201.07000732421875,41.66920471191406,74.82350158691406,62.62537384033203,198.5352783203125,108.92102813720703,29.111242294311523,60.59321975708008
2018-01-03,72.79145812988281,25.10739517211914,171.45480346679688,104.7051773071289,94.1593017578125,158.5021209716797,114.93785095214844,88.20106506347656,36.192569732666016,75.99279022216797,147.73007202148438,43.0431022644043,205.0500030517578,42.634307861328125,74.73271179199219,62.204872131347656,200.617919921875,110.0053939819336,29.365182876586914,61.78325271606445
2018-01-04,72.37635040283203,25.43597984313965,170.1233673095703,106.08745574951172,93.8662109375,159.7600860595703,114.92965698242188,89.46460723876953,36.70232009887695,76.33195495605469,149.6413116455078,43.74080276489258,205.6300048828125,43.05429458618164,75.26097106933594,61.60834884643555,201.48870849609375,110.4144058227539,29.391754150390625,61.86878204345703
2018-01-05,73.63626861572266,25.55393409729004,168.9087677001953,107.49956512451172,93.71237182617188,161.4288330078125,115.87822723388672,88.89026641845703,36.69435119628906,77.26915740966797,152.743408203125,43.6948127746582,209.99000549316406,43.31344223022461,75.31049346923828,63.173004150390625,205.3308563232422,113.05872344970703,29.565967559814453,61.81889724731445
2018-01-08,72.45647430419922,25.37700653076172,169.56553649902344,108.2553482055664,94.1739730834961,161.0430908203125,116.0254135131836,89.02155303955078,36.63859558105469,76.87642669677734,153.20513916015625,43.441802978515625,212.0500030517578,43.769195556640625,75.7066879272461,63.66195297241211,201.76698303222656,113.51529693603516,30.002971649169922,62.09680938720703
2018-01-09,73.00267791748047,25.50338363647461,167.5953369140625,108.54373931884766,93.66839599609375,161.9319610595703,117.86524963378906,89.47280883789062,36.821781158447266,76.8139419555664,153.42637634277344,43.549137115478516,209.30999755859375,44.01142120361328,75.1536636352539,64.15091705322266,202.77243041992188,113.29650115966797,29.64273452758789,61.833133697509766
2018-01-10,72.60211181640625,25.739294052124023,166.81263732910156,108.19568634033203,94.26921081542969,160.84181213378906,117.72626495361328,90.45738983154297,36.69435119628906,76.84964752197266,153.77264404296875,43.9324836730957,212.52000427246094,43.778167724609375,74.67491912841797,62.47868728637695,201.26431274414062,113.17286682128906,29.43014144897461,61.341426849365234
2018-01-11,72.8148422241211,25.831968307495117,170.37525939941406,108.49401092529297,97.13409423828125,163.25697326660156,118.39677429199219,90.94145965576172,36.670467376708984,77.10848999023438,154.7922821044922,44.16250228881836,217.24000549316406,43.91272735595703,74.41077423095703,62.42979431152344,202.33255004882812,113.99087524414062,29.533485412597656,61.94716262817383
2018-01-12,73.59967803955078,26.27851104736328,172.58836364746094,109.627685546875,97.8887710571289,164.7161102294922,119.18995666503906,92.44290924072266,36.75807189941406,77.63511657714844,156.14857482910156,44.975215911865234,221.22999572753906,44.41509246826172,73.96508026123047,62.27333068847656,205.2500762939453,114.22867584228516,29.784473419189453,62.36759567260742
2018-01-16,75.17671966552734,26.320636749267578,172.30947875976562,108.2851791381836,96.72376251220703,164.62387084960938,120.08943939208984,92.11473846435547,37.06073760986328,76.12667083740234,156.11012268066406,47.58968734741211,221.52999877929688,44.48685836791992,74.46857452392578,61.579017639160156,209.0742645263672,114.51404571533203,29.731319427490234,61.97565460205078
2018-01-17,76.5483627319336,26.270090103149414,172.9932098388672,109.42879486083984,96.9802017211914,167.56729125976562,120.18758392333984,92.7054672241211,37.291725158691406,76.9478530883789,158.06288146972656,47.55903625488281,217.5,45.09689712524414,75.27745819091797,62.3515625,214.03858947753906,116.02644348144531,30.324831008911133,62.70966339111328
2018-01-18,76.14495086669922,26.52284812927246,172.29151916503906,111.1491928100586,96.41602325439453,166.31781005859375,120.13850402832031,92.92699432373047,37.33951187133789,76.59973907470703,159.1786346435547,46.868988037109375,220.3300018310547,45.061004638671875,75.00300598144531,61.49100112915039,218.28469848632812,117.10127258300781,30.797269821166992,62.30344772338867
2018-01-19,76.7537612915039,26.725059509277344,172.9932098388672,111.30829620361328,96.20352172851562,168.83360290527344,120.49829864501953,92.72190856933594,37.56253433227539,76.3051986694336,160.4772491455078,46.9839973449707,220.4600067138672,45.374996185302734,75.74321746826172,62.30266189575195,218.45523071289062,116.71129608154297,30.882905960083008,62.10393524169922
2018-01-22,78.11073303222656,26.91040802001953,174.8734893798828,112.2629623413086,97.12676239013672,171.4583740234375,121.13612365722656,93.80491638183594,37.73775100708008,76.26055908203125,161.87205505371094,46.96099853515625,227.5800018310547,45.491607666015625,76.42522430419922,62.527584075927734,218.6437225341797,118.2617416381836,31.13684844970703,62.88780212402344
2018-01-23,77.29655456542969,26.89356231689453,174.0098114013672,112.61100769042969,95.99838256835938,171.8273468017578,115.97633361816406,93.7064437866211,37.79351806640625,75.35016632080078,160.8235626220703,47.3060188293457,250.2899932861328,45.85942840576172,74.06319427490234,63.104549407958984,220.1249237060547,118.56610870361328,31.26971435546875,62.923431396484375
2018-01-24,77.39189147949219,27.036788940429688,174.74752807617188,112.22319030761719,96.26947784423828,172.93435668945312,116.17259216308594,94.90435791015625,38.09617614746094,75.2430419921875,160.65036010742188,46.907325744628906,261.29998779296875,46.15546798706055,73.44772338867188,63.564170837402344,219.8018035888672,118.47100067138672,31.23722267150879,63.087310791015625
