Price,Close,High,Low,Open,Volume
Ticker,XLI,XLI,XLI,XLI,XLI
Date,,,,,
2010-01-04,21.26990509033203,21.26990509033203,20.999524479556854,21.097162559014823,7471500
2010-01-05,21.345008850097656,21.367541042927996,21.16475560503128,21.2398614819403,8256700
2010-01-06,21.390064239501953,21.412596424364697,21.284916908525695,21.292427636813276,5356700
2010-01-07,21.62289810180664,21.65293959018864,21.27741167399909,21.352517543742064,12118200
2010-01-08,21.9683837890625,21.975894519525905,21.615388052434557,21.63040808083601,8065000
2010-01-11,22.208724975585938,22.23876790223074,22.00593951831029,22.11859906070271,11895500
2010-01-12,22.02846908569336,22.08855349929038,21.8707480371982,22.02095835492805,12020700
2010-01-13,22.118602752685547,22.16366571764896,21.90830652864657,21.99092315818435,10978200
2010-01-14,22.118602752685547,22.133622785989466,22.02847539023289,22.088559821026053,4762700
2010-01-15,21.833194732666016,22.111086045326434,21.773110318107744,22.043490899882695,7251000
2010-01-19,22.07353401184082,22.10357693758884,21.810665574173363,21.908302217803342,11941300
2010-01-20,21.73556137084961,21.878260981595997,21.53277590396707,21.83319802201954,9810400
2010-01-21,21.232349395751953,21.818172046693693,21.217327934823867,21.720535415711858,17492900
2010-01-22,20.909399032592773,21.375052947661263,20.901888300733525,21.254884102964517,16216200
2010-01-25,21.044586181640625,21.18728576796639,20.924417354984502,21.157244277565063,12695500
2010-01-26,20.954452514648438,21.16474861402492,20.841794452760137,20.924411033323214,12708200
2010-01-27,21.014535903930664,21.05960027254889,20.669051006340375,20.8793456631258,22437800
2010-01-28,20.774206161499023,21.1422233820504,20.578931454824232,21.044586744975728,21371000
2010-01-29,20.563915252685547,21.014549196232277,20.51134155523483,20.81176370675738,17136200
2010-02-01,20.871849060058594,20.87935836020325,20.65404211019327,20.796743165880006,16144100
2010-02-02,21.26990509033203,21.307458748787244,20.946950790245147,20.992015180391405,20403200
2010-02-03,21.14221954345703,21.337494214677644,21.089645868998634,21.209814677053597,13675400
2010-02-04,20.51883888244629,21.03706765057517,20.51883888244629,20.999514010841263,20628100
2010-02-05,20.428722381591797,20.676570787409595,20.023151481603286,20.56391124906243,30821300
2010-02-08,20.203401565551758,20.51884507184399,20.203401565551758,20.481292853307544,17888900
2010-02-09,20.593952178955078,20.781716147970887,20.361125258482584,20.42872040193031,22723500
2010-02-10,20.563915252685547,20.661553347259012,20.37615122891823,20.60897964980829,12709800
2010-02-11,20.871849060058594,20.89437982554412,20.42872586018329,20.541383985188283,11507900
2010-02-12,20.70660972595215,20.781715598076214,20.48880427257026,20.593951634028734,16638900
2010-02-16,21.194795608520508,21.217327799769212,20.87184279577452,20.92441647616281,10497000
2010-02-17,21.37504768371582,21.39757987374466,21.217326651089763,21.352516926212257,14974300
2010-02-18,21.570322036743164,21.60787568621732,21.247369246416937,21.247369246416937,7602300
2010-02-19,21.675474166870117,21.780621536569544,21.47268872599939,21.540283872956298,12076500
2010-02-22,21.69049072265625,21.795639508041265,21.637917046226367,21.7806180483398,7382700
2010-02-23,21.412601470947266,21.773107918566705,21.35251706301069,21.637917642578092,16110200
2010-02-24,21.63040542602539,21.675469803274847,21.412599999420422,21.487705862311,9011200
2010-02-25,21.57784080505371,21.622905201210582,21.142228336551096,21.23986642903187,12357000
2010-02-26,21.66045570373535,21.728050860051066,21.465180966881693,21.547797587384384,9004200
2010-03-01,21.945852279663086,21.975895202450328,21.667962406508124,21.75057757912223,11493900
